dDisplacement_nm_ori     dForce
1464.165     2822.3069
1455.151     2802.2105
1450.502     2793.965
1446.116     2787.5693
1441.648     2778.5713
1432.541     2760.4187
1427.985     2751.3895
1423.331     2740.4791
1414.353     2721.3232
1409.704     2712.5134
1405.21     2702.1987
1400.566     2692.6678
1391.593     2676.3023
1386.955     2667.7746
1382.486     2659.4664
1373.209     2642.5992
1368.756     2634.291
1364.087     2624.1018
1359.557     2613.2854
1350.234     2593.8474
1345.75     2583.9089
1341.163     2574.4721
1332.113     2558.6709
1327.449     2548.6697
1322.733     2539.3269
1318.306     2529.7333
1308.875     2511.8315
1304.447     2502.8649
1299.783     2492.1427
1290.887     2473.0809
1286.316     2463.8635
1281.498     2453.3293
1276.921     2444.1746
1267.871     2426.4296
1263.099     2418.3095
1258.507     2409.0294
1249.281     2389.7168
1244.875     2380.1546
1240.262     2369.8085
1231.099     2353.537
1226.368     2343.3164
1221.699     2334.193
1212.756     2314.6296
1208.149     2307.5128
1203.608     2299.0478
1198.944     2289.4856
1189.904     2271.2389
1185.245     2261.7394
1180.756     2253.0863
1171.485     2235.9683
1167.093     2226.5315
1162.398     2215.3076
1157.811     2205.9648
1148.509     2186.903
1143.958     2177.0272
1139.428     2168.8444
1130.305     2152.1027
1125.611     2141.8507
1121.024     2133.4484
1111.732     2113.2266
1107.176     2104.0406
1102.872     2094.8545
1098.156     2085.2609
1088.859     2056.2293
1084.113     2047.0746
1079.644     2037.2616
1070.496     2018.9836
1066.007     2010.111
1061.24     2000.8623
1052.113     1982.1767
1047.377     1972.2382
1042.934     1963.6792
1038.295     1955.6846
1029.05     1938.9741
1024.422     1928.1578
1019.814     1919.0658
1010.64     1900.004
1006.018     1891.445
1001.518     1882.2904
996.808     1871.6622
987.613     1853.5723
982.919     1843.9159
978.388     1832.6293
969.271     1813.7243
964.761     1804.0366
960.025     1796.0106
955.428     1786.7619
941.925     1769.6439
937.153     1760.5206
932.396     1751.648
923.181     1730.8619
918.589     1721.6445
914.229     1711.4552
904.983     1695.121
900.411     1685.6528
895.675     1674.3976
891.14     1665.3369
881.966     1645.8362
877.518     1637.0264
