dDisplacement_nm_ori     dForce
2559.725     5037.7085
2551.328     5020.1516
2546.838     5011.2791
2542.596     5001.8422
2534.065     4985.1945
2529.72     4978.2031
2525.308     4969.2365
2516.792     4952.4007
2512.411     4943.8103
2508.369     4937.0384
2503.906     4928.981
2495.293     4909.6057
2490.906     4899.1656
2486.684     4891.1396
2478.148     4874.6172
2473.932     4865.3685
2469.453     4856.9663
2460.86     4838.218
2456.422     4831.1325
2452.17     4822.3227
2443.412     4804.0133
2439.227     4795.3916
2434.845     4787.8986
2430.372     4779.7785
2421.897     4762.9113
2417.516     4754.415
2413.243     4746.3263
2404.398     4729.898
2400.223     4722.0601
2395.77     4713.4071
2387.172     4695.2231
2382.672     4685.7549
2378.373     4677.917
2369.673     4660.9558
2365.42     4651.7697
2360.957     4643.4929
2356.622     4634.6204
2347.936     4616.3424
2343.643     4608.5358
2339.2     4600.0081
2330.401     4579.4415
2325.892     4570.8511
2321.469     4561.9472
2312.856     4547.4314
2308.444     4538.7784
2304.094     4531.3794
2299.527     4522.0366
2290.863     4507.1132
2286.482     4497.1747
2282.214     4486.9541
2268.9     4468.0177
2264.406     4460.3052
2260.194     4450.7743
2251.273     4432.0887
2246.933     4423.6238
2242.51     4414.2183
2238.037     4404.8441
2229.392     4387.9769
2225.001     4378.5401
2220.656     4368.727
2211.677     4352.5809
2207.44     4343.6771
2203.028     4335.0867
2194.338     4317.8119
2189.813     4301.1956
2185.601     4291.069
2181.179     4281.2873
2172.514     4264.5141
2167.984     4254.7951
2163.644     4246.0794
2154.799     4227.7387
2150.675     4220.4337
2146.17     4213.3169
2137.387     4195.2897
2132.826     4187.1383
2128.342     4178.0463
2124.126     4168.9857
2115.286     4150.8331
2110.91     4142.807
2106.369     4133.5583
2097.643     4115.4684
2093.205     4106.7526
2088.84     4098.0996
2079.81     4080.6054
2075.429     4071.8582
2070.909     4063.1738
2066.682     4054.1446
2057.729     4036.3055
2053.626     4027.0567
2048.951     4018.5918
2039.988     4002.0381
2035.422     3992.6013
2030.974     3980.9698
2021.934     3964.9491
2017.501     3955.7317
2013.166     3945.7619
2008.703     3937.3283
1999.786     3918.9249
1995.256     3909.6135
1990.839     3900.9918
1981.989     3882.1494
1977.572     3873.5904
1972.98     3864.2476
1964.089     3845.468
1959.497     3837.8182
1955.254     3830.8268
1950.668     3820.7629
1941.782     3801.3876
1937.154     3791.9194
1932.706     3785.1474
1924.365     3766.838
1919.511     3757.3071
1914.986     3748.1525
1905.94     3731.1599
1901.441     3721.4095
1897.019     3711.0635
1892.632     3701.3758
1883.474     3684.007
1879.021     3675.3853
1874.388     3667.2025
1865.651     3651.3072
1861.023     3641.2433
1856.595     3631.9319
1847.422     3611.4593
1843.19     3604.3424
1838.572     3593.8396
1834.067     3585.6569
1824.919     3566.501
1820.543     3557.5658
1816.033     3548.9754
1806.947     3531.7007
1802.309     3523.5806
1797.727     3513.454
1788.646     3494.3609
1784.306     3487.6202
1779.781     3478.3715
1770.607     3460.5324
1766.123     3450.9388
1761.675     3442.2231
1757.453     3434.3851
1748.022     3411.7179
1743.631     3403.3784
1738.941     3394.3804
1730.019     3376.2592
1725.283     3365.9131
1720.804     3357.3855
1711.744     3330.2036
1707.357     3320.9235
1702.729     3311.9883
1698.148     3302.5828
1693.7     3287.1892
1684.644     3278.1285
1680.062     3268.9425
1671.058     3251.4796
1666.477     3240.8514
1661.833     3231.4459
1652.839     3211.0046
1648.324     3201.317
1643.912     3191.2531
1634.8     3176.9881
1630.404     3167.6767
1621.353     3157.7695
1616.725     3148.6462
1607.608     3131.4655
1603.032     3122.2795
1598.604     3113.5324
1589.384     3096.1008
1584.874     3086.7581
1580.365     3077.2585
1571.391     3058.9178
1566.763     3050.2647
1562.161     3041.1101
1557.641     3031.7359
1548.462     3011.42
1544.086     3004.1465
1539.381     2994.1766
1530.264     2975.0835
1525.553     2965.4585
1521.033     2957.119
1511.767     2939.9069
1507.412     2931.1285
1502.635     2920.9392
1497.893     2910.3423
1488.596     2892.1584
1484.148     2883.474
1479.541     2871.3722
1470.382     2851.9969
1465.734     2843.1244
1461.039     2833.0291
1451.886     2814.9079
1447.345     2805.1889
1442.82     2796.3477
1433.446     2779.167
1428.957     2770.0123
1424.308     2761.3593
1419.747     2755.1517
1410.439     2736.0585
1405.935     2724.2389
1401.209     2714.2377
1392.189     2697.6214
1387.438     2686.3975
1382.903     2677.1801
1378.275     2666.9908
1369.193     2650.5625
1364.473     2641.6273
1359.85     2633.0683
1350.609     2614.1319
1345.894     2605.3848
1341.446     2595.415
1332.18     2577.8894
1327.531     2570.1456
1322.78     2559.7368
1313.539     2540.4556
1308.962     2532.1474
1304.468     2522.4284
1299.696     2513.1483
1290.522     2492.9578
1285.714     2484.3047
1281.256     2475.4949
1271.851     2457.3423
1267.372     2447.8114
1262.651     2439.4405
1257.936     2431.4459
1248.803     2413.2933
1244.165     2402.9786
1239.583     2394.7331
1230.24     2374.6994
1225.653     2363.3501
1220.943     2346.4515
1211.681     2328.8946
1207.028     2318.8621
1202.472     2308.516
1197.731     2298.3581
1188.654     2276.412
1183.908     2267.2573
1179.347     2259.1058
1169.926     2241.9565
1165.54     2233.711
1160.789     2225.4028
1151.569     2202.4848
1146.781     2191.4176
1142.199     2183.0781
1137.726     2174.2369
1128.531     2155.9276
1123.929     2148.2464
1119.311     2139.1858
1109.659     2118.2115
1104.954     2109.7152
1100.491     2099.2124
1091.111     2080.0566
1086.56     2071.623
1081.783     2062.4369
1077.227     2053.7525
1067.982     2037.1362
1063.498     2027.5739
1058.7     2019.8928
1049.49     1999.9218
1044.769     1989.7325
1040.327     1982.6156
1030.855     1964.5257
1026.329     1954.117
1021.629     1944.5861
1016.816     1934.8671
1007.673     1917.7804
1003.04     1907.6852
998.453     1898.0916
988.961     1878.9357
984.42     1870.7843
979.72     1862.288
970.336     1844.6684
965.636     1835.2942
961.126     1826.0769
951.983     1817.9254
942.614     1798.7696
938.068     1788.4862
933.389     1778.7986
924.22     1760.5519
919.561     1752.6513
914.954     1744.3431
905.867     1722.6791
900.977     1713.3363
896.508     1703.9622
887.216     1687.2831
882.506     1676.7176
877.719     1668.7229
873.235     1658.032
